id,title,description,genre
100,Ratatouille,"Remy, a rat, aspires to become a renowned French chef. However, he fails to realise that people despise rodents and will never enjoy a meal cooked by him.",Family|Comedy
101,Titanic,"Seventeen-year-old Rose hails from an aristocratic family and is set to be married. When she boards the Titanic, she meets Jack Dawson, an artist, and falls in love with him.",Romance|Drama
102,Blended,"After a terrible blind date, Jim and Lauren find themselves stranded at a resort together with their respective children. However, the two soon start developing feelings for each other.",Romance|Comedy
103,Inception,Cobb steals information from his targets by entering their dreams. Saito offers to wipe clean Cobb's criminal history as payment for performing an inception on his sick competitor's son.,Action|Sci-fi
104,The platform,"In the future, prisoners housed in vertical cells watch as inmates in the upper cells are fed while those below starve.",Thriller|Sci-fi
105,Glass,"While David confronts Kevin, a group of armed men intervene. Now locked in a mental facility with Elijah, the two find their superhuman abilities being questioned by Ellie, a secretive psychiatrist.",Thriller|Drama
106,John Wick,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,Action|Thriller
107,The Boss Baby,Seven-year-old Tim gets jealous when his parents give all their attention to his little brother. Tim soon learns that the baby can talk and the two team up to foil the plans of the CEO of Puppy Co.,Family|Comedy
108,Deadpool,"Ajax, a twisted scientist, experiments on Wade Wilson, a mercenary, to cure him of cancer and give him healing powers. However, the experiment leaves Wade disfigured and he decides to exact revenge.",Action|Comedy
109,The vow,"Paige meets with a terrible accident which leaves her in a coma. When she wakes up, she doesn't recognise her husband Leo, who then tries to win her back by courting her again.",Romance|Drama
110,The Meg,"When the members of an underwater research facility are under threat owing to a 75-foot prehistoric shark, Jonas Taylor, a deep-sea diver, is hired to save them.",Action|Sci-fi
111,Passengers,"During a voyage to a distant colony planet, Jim's hypersleep pod malfunctions, waking him up. He and fellow passenger Aurora must work together to prevent their spaceship from meeting with a disaster.",Romance|Scifi
112,San Andreas,"Following a massive earthquake, Ray, a rescue chopper pilot, and his soon to be ex-wife try to find and save their daughter before another disaster strikes.",Action|Thriller
113,Cinderella,"After the untimely death of her father, Ella is troubled by her stepmother and stepsisters. However, her life changes forever after dancing with a charming stranger at the Royal Ball.",Family|Romance
114,Youth,"Fred, a retired orchestra conductor, has no plans of returning to music. However, he is elated when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.",Drama|Comedy
115,Extinction,A man's home life starts to suffer when he has recurring nightmares about a destructive and unknown force. He must soon find the strength to save his wife and two daughters when extraterrestrials launch a devastating attack on the planet.,Sci-fi|Thriller
116,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet.",Sci-fi|Drama
117,Megamind,"A supervillain named Megamind defeats and kills his enemy. Out of boredom he creates a superhero who becomes evil, forcing Megamind to turn into a hero.",Family|Comedy
118,Baby Driver,"Doc forces Baby, a former getaway driver, to partake in a heist, threatening to hurt his girlfriend if he refuses. But the plan goes awry when their arms dealers turn out to be undercover officers.",Action|Thriller
119,The notebook,"Duke reads the story of Allie and Noah, two lovers who were separated by fate, to Ms Hamilton, an old woman who suffers from dementia, on a daily basis out of his notebook.",Romance|Drama
120,Zootropolis,"When Judy Hopps, a rookie officer in the Zootopia Police Department, sniffs out a sinister plot, she enlists the help of a con artist to solve the case in order to prove her abilities to Chief Bogo.",Family|Comedy
